iter	Passed	Remaining
531	12561	11050
532	12583	11025
533	12605	11000
534	12627	10974
535	12648	10949
536	12669	10923
537	12691	10898
538	12715	10875
539	12737	10850
540	12757	10823
541	12779	10798
542	12800	10773
543	12823	10748
544	12843	10722
545	12866	10698
546	12889	10674
547	12909	10647
548	12932	10624
549	12956	10601
550	12977	10574
551	12997	10548
552	13017	10521
553	13036	10494
554	13059	10471
555	13080	10445
556	13098	10417
557	13120	10392
558	13141	10367
559	13160	10340
560	13180	10314
561	13200	10287
562	13222	10263
563	13246	10239
564	13267	10214
565	13288	10189
566	13309	10163
567	13329	10137
568	13353	10114
569	13375	10090
570	13396	10065
571	13417	10039
572	13437	10013
573	13465	9993
574	13491	9971
575	13515	9949
576	13540	9926
577	13562	9902
578	13585	9878
579	13606	9853
580	13627	9828
581	13648	9802
582	13668	9776
583	13690	9752
584	13711	9726
585	13734	9703
586	13756	9678
587	13778	9654
588	13799	9629
589	13819	9603
590	13839	9577
591	13859	9552
592	13883	9528
593	13906	9505
594	13927	9479
595	13947	9454
596	13970	9430
597	13991	9405
598	14009	9378
599	14032	9355
600	14053	9330
601	14074	9304
602	14094	9279
603	14114	9253
604	14137	9230
605	14155	9203
606	14175	9177
607	14197	9153
608	14218	9128
609	14239	9103
610	14260	9079
611	14282	9054
612	14305	9031
613	14328	9007
614	14357	8988
615	14385	8967
616	14409	8944
617	14435	8922
618	14466	8904
619	14499	8886
620	14535	8871
621	14562	8850
622	14588	8828
623	14615	8806
624	14642	8785
625	14667	8763
626	14691	8740
627	14714	8716
628	14737	8692
629	14761	8669
630	14790	8649
631	14822	8630
632	14849	8609
633	14876	8588
634	14905	8567
635	14935	8548
636	14962	8526
637	14990	8505
638	15017	8484
639	15048	8464
640	15077	8444
641	15101	8420
642	15128	8399
643	15155	8377
644	15181	8355
645	15210	8335
646	15237	8313
647	15265	8292
648	15293	8271
649	15323	8251
650	15352	8230
651	15379	8208
652	15406	8186
653	15432	8164
654	15467	8147
655	15499	8127
656	15530	8107
657	15563	8089
658	15589	8066
659	15614	8043
660	15638	8020
661	15660	7995
662	15686	7973
663	15711	7950
664	15734	7926
665	15759	7903
666	15783	7879
667	15806	7855
668	15832	7833
669	15857	7810
670	15884	7788
671	15907	7764
672	15933	7741
673	15957	7718
674	15977	7692
675	16001	7669
676	16021	7643
677	16041	7618
678	16063	7594
679	16083	7568
680	16103	7543
681	16124	7518
682	16146	7493
683	16166	7468
684	16186	7443
685	16209	7419
686	16234	7396
687	16256	7371
688	16279	7348
689	16301	7323
690	16321	7298
691	16341	7273
692	16363	7249
693	16384	7224
694	16408	7200
695	16431	7177
696	16457	7154
697	16484	7132
698	16506	7107
699	16530	7084
700	16550	7059
701	16570	7034
702	16593	7010
703	16614	6985
704	16634	6960
705	16654	6935
706	16675	6910
707	16695	6885
708	16715	6860
709	16736	6836
710	16756	6810
711	16777	6786
712	16797	6761
713	16815	6735
714	16835	6710
715	16859	6687
716	16880	6662
717	16903	6639
718	16927	6615
719	16949	6591
720	16969	6566
721	16990	6541
722	17016	6519
723	17038	6495
724	17061	6471
725	17083	6447
726	17104	6422
727	17124	6397
728	17145	6373
729	17168	6350
730	17188	6325
731	17210	6301
732	17230	6276
733	17250	6251
734	17271	6227
735	17291	6202
736	17312	6178
737	17335	6154
